Common_Name,Habitat_Type,Obs_Depth_m,Body_Length_cm,Body_Weight_kg,Sex,Water_Temp_C,Salinity_ppt,pH,Estimated_Age_yr
Swordfish,Marine,297.1,384.8,585.684,Juvenile,2.5,35.2,7.67,6.7
Sailfish,Marine,115.5,287.2,74.402,Male,22.5,33.3,7.87,6.4
Yellowfin Tuna,Marine,920.8,191.6,153.866,Juvenile,1.6,35.3,8.12,4.6
Swordfish,Marine,335.7,292.5,544.562,Juvenile,4.1,33.6,7.91,4.5
Sailfish,Marine,203.2,218.4,69.682,Female,1.7,33.0,8.25,4.2
Wahoo,Marine,138.6,308.2,92.858,Male,27.2,36.6,7.87,3.2
Mahi-Mahi,Marine,181.9,197.6,47.406,Male,19.9,35.9,7.69,1.2
Sailfish,Marine,44.6,301.0,96.214,Male,20.2,36.1,8.3,5.8
Blue Marlin,Marine,164.8,482.3,726.132,Female,27.6,34.8,7.53,10.3
Swordfish,Marine,0.0,365.4,503.269,Juvenile,28.2,33.6,7.78,5.9
Bluefin Tuna,Marine,699.5,349.2,436.797,Female,4.4,33.3,8.37,19.1
Albacore Tuna,Marine,380.1,143.0,62.358,Male,4.7,36.3,8.21,9.1
Mahi-Mahi,Marine,105.5,230.9,41.8,Juvenile,18.7,34.8,8.13,2.7
Blue Marlin,Marine,363.9,493.0,867.474,Juvenile,1.6,35.6,7.64,15.9
Swordfish,Marine,487.2,452.0,559.108,Juvenile,1.0,36.1,7.94,2.7
Albacore Tuna,Marine,337.4,120.7,75.672,Female,2.2,36.7,7.66,8.7
Yellowfin Tuna,Marine,511.6,208.8,185.071,Female,2.7,33.2,7.54,2.8
Mahi-Mahi,Marine,112.7,170.0,38.94,Male,27.7,36.4,7.95,1.5
Yellowfin Tuna,Marine,696.0,223.9,203.847,Female,2.7,34.2,8.25,4.8
Albacore Tuna,Marine,249.7,144.4,57.286,Male,2.5,33.4,8.08,10.6
Albacore Tuna,Marine,210.6,122.3,61.429,Male,5.6,35.6,8.07,9.1
Wahoo,Marine,60.6,235.5,100.591,Male,26.2,35.9,8.06,1.7
Blue Marlin,Marine,599.6,498.4,741.712,Female,1.2,36.7,7.55,12.4
Blue Marlin,Marine,409.6,486.1,668.454,Juvenile,2.4,36.3,8.18,20.2
Albacore Tuna,Marine,334.4,101.3,55.166,Female,3.0,33.8,8.25,8.2
Mahi-Mahi,Marine,193.2,237.9,40.531,Juvenile,29.4,36.7,8.23,0.8
Sailfish,Marine,269.2,299.5,99.299,Male,5.0,34.8,8.05,7.5
Albacore Tuna,Marine,277.3,124.7,72.263,Juvenile,3.2,35.0,8.23,9.5
Bluefin Tuna,Marine,794.8,364.2,675.766,Male,2.4,37.0,7.61,14.2
